koi_disposition,koi_pdisposition,koi_score,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr
CONFIRMED,CANDIDATE,1,5.349553819,8.83E-06,-8.83E-06,171.80694,1.27E-03,-1.27E-03,0.092,0.369,-0.092,3.0278,0.0471,-0.0471,8.31E+02,1.48E+01,-1.48E+01,2.55,1.60E-01,-2.40E-01,168.99,34.66,-38.48,60.6
CONFIRMED,CANDIDATE,0.98,3.94105221,1.09E-05,-1.09E-05,136.08662,2.33E-03,-2.33E-03,0.226,0.243,-0.226,2.5984,0.0737,-0.0737,3.63E+02,1.39E+01,-1.39E+01,1.7,1.10E-01,-1.60E-01,253.15,51.91,-57.65,28.9
CONFIRMED,CANDIDATE,0.971,8.10904807,6.79E-05,-6.79E-05,132.8031,7.16E-03,-7.16E-03,0.025,0.425,-0.025,3.596,0.198,-0.198,2.17E+02,1.68E+01,-1.68E+01,1.3,9.00E-02,-1.20E-01,97.03,19.9,-22.09,14.1
FALSE POSITIVE,FALSE POSITIVE,,386.6030528,1.37E-04,-1.37E-04,166.342079,2.99E-04,-2.99E-04,0.9765,0.0497,-0.0268,6.8057,0.0184,-0.0184,2.49E+04,4.58E+01,-4.58E+01,41.5,1.68E+00,-1.68E+00,1.84,0.26,-0.24,994
CONFIRMED,CANDIDATE,1,21.67699193,7.01E-05,-7.01E-05,171.53594,2.58E-03,-2.58E-03,0.896,0.01,-0.663,3.4555,0.0656,-0.0656,8.57E+02,2.71E+01,-2.71E+01,2.95,1.20E-01,-2.30E-01,18.64,2.78,-3.8,34.3
CONFIRMED,CANDIDATE,1,4.99677968,1.39E-05,-1.39E-05,171.74208,2.19E-03,-2.19E-03,0.71,0.006,-0.533,2.1717,0.0762,-0.0762,9.35E+02,3.97E+01,-3.97E+01,2.78,5.20E-01,-2.30E-01,166.95,102.06,-42.14,28.2
CONFIRMED,CANDIDATE,1,4.280963604,6.14E-06,-6.14E-06,171.89659,1.15E-03,-1.15E-03,0.424,0.112,-0.356,2.875,0.042,-0.042,7.51E+02,1.41E+01,-1.41E+01,2.3,5.80E-01,-1.90E-01,247.87,182.24,-63.32,61.8
FALSE POSITIVE,FALSE POSITIVE,0,1.50635409,4.70E-07,-4.70E-07,170.998064,2.46E-04,-2.46E-04,0.86,0.042,-0.125,1.5155,0.0483,-0.0483,2.21E+03,1.83E+01,-1.83E+01,4.53,1.01E+00,-4.40E-01,1054.12,703.1,-292.26,181.1
FALSE POSITIVE,FALSE POSITIVE,0,670.645531,1.24E-03,-1.24E-03,209.04355,1.57E-03,-1.57E-03,0.701,0.004,-0.005,53.412,0.131,-0.131,1.81E+04,3.35E+01,-3.35E+01,14.14,2.13E+00,-7.10E-01,0.35,0.15,-0.06,642.7
FALSE POSITIVE,FALSE POSITIVE,0,61.2563628,1.56E-04,-1.56E-04,173.83826,2.09E-03,-2.09E-03,1.248,6.912,-0.067,7.633,0.105,-0.105,5.12E+03,7.06E+01,-7.06E+01,39.87,1.28E+01,-5.48E+00,15.43,14.85,-5.51,85.3
CONFIRMED,CANDIDATE,1,38.3775486,1.60E-04,-1.60E-04,172.82048,3.38E-03,-3.38E-03,0.468,0.461,-0.267,5.588,0.113,-0.113,7.24E+02,2.34E+01,-2.34E+01,2.82,3.70E-01,-3.40E-01,18.53,6.72,-4.93,34.7
CONFIRMED,CANDIDATE,0.992,41.19725502,9.35E-05,-9.35E-05,165.00404,1.71E-03,-1.71E-03,0.045,0.337,-0.045,4.6297,0.0633,-0.0633,2.21E+03,4.55E+01,-4.55E+01,3.86,1.50E-01,-3.30E-01,8.76,1.27,-1.9,51.2
CONFIRMED,CANDIDATE,1,6.252962249,9.58E-06,-9.58E-06,171.30126,1.17E-03,-1.17E-03,0.105,0.329,-0.105,2.5819,0.0426,-0.0426,1.04E+03,2.45E+01,-2.45E+01,2.65,1.00E-01,-2.30E-01,108.3,15.73,-23.44,47.1
CONFIRMED,CANDIDATE,1,16.01308419,4.85E-05,-4.85E-05,176.3608,2.43E-03,-2.43E-03,0.799,0.097,-0.551,3.2554,0.0791,-0.0791,1.12E+03,3.94E+01,-3.94E+01,3.1,3.40E-01,-3.10E-01,29.31,11.77,-8.24,33.2
CONFIRMED,CANDIDATE,1,32.62876672,5.80E-05,-5.80E-05,194.1019,1.38E-03,-1.38E-03,0.021,0.402,-0.021,4.7971,0.058,-0.058,1.80E+03,2.54E+01,-2.54E+01,3.36,7.60E-01,-3.30E-01,15.55,10.51,-4.18,80
CONFIRMED,CANDIDATE,0.978,91.7732862,7.52E-04,-7.52E-04,193.8378,6.43E-03,-6.43E-03,0.606,0.335,-0.4,6.473,0.204,-0.204,6.52E+02,3.62E+01,-3.62E+01,2.12,4.80E-01,-2.10E-01,3.92,2.64,-1.06,19.1
CANDIDATE,CANDIDATE,1,4.959319244,5.15E-07,-5.15E-07,172.2585292,8.27E-05,-8.27E-05,0.831,0.016,-0.004,2.22739,0.0075,-0.0075,9.80E+03,2.00E+01,-2.00E+01,12.21,1.96E+00,-1.46E+00,349.4,146.52,-93.21,696.5
FALSE POSITIVE,FALSE POSITIVE,0,2.701287801,5.63E-06,-5.63E-06,170.69579,1.64E-03,-1.64E-03,1.016,3.967,-0.059,3.3827,0.0892,-0.0892,8.60E+02,2.09E+01,-2.09E+01,6.54,1.64E+00,-7.50E-01,527.81,411.33,-166.35,48.3
CONFIRMED,CANDIDATE,1,4.49876511,1.78E-05,-1.78E-05,171.34905,3.00E-03,-3.00E-03,0.312,0.154,-0.312,3.7362,0.0934,-0.0934,4.60E+02,1.75E+01,-1.75E+01,2.1,6.50E-01,-2.20E-01,389.62,365.71,-117.4,29.5
FALSE POSITIVE,FALSE POSITIVE,0,19.65120951,5.86E-06,-5.86E-06,179.401981,2.49E-04,-2.49E-04,0.723,0.01,-0.02,5.2514,0.0179,-0.0179,1.18E+04,2.77E+01,-2.77E+01,12.42,3.92E+00,-1.69E+00,67.03,62.46,-23.51,513.4
CONFIRMED,CANDIDATE,1,5.412203927,3.05E-06,-3.05E-06,133.143089,4.68E-04,-4.68E-04,0.787,0.005,-0.565,2.9472,0.024,-0.024,6.02E+02,4.00E+00,-4.00E+00,2.94,4.30E-01,-3.80E-01,337.68,137.29,-102.18,166.7
CONFIRMED,CANDIDATE,0.998,41.43958662,7.56E-05,-7.56E-05,208.93203,1.42E-03,-1.42E-03,0.355,0.04,-0.355,10.5989,0.088,-0.088,2.79E+03,2.26E+01,-2.26E+01,5.5,1.57E+00,-9.60E-01,16.72,14.66,-6.64,141.1
CONFIRMED,CANDIDATE,1,8.35389523,1.52E-05,-1.52E-05,171.63257,1.33E-03,-1.33E-03,0.023,0.423,-0.023,2.2514,0.0518,-0.0518,1.04E+03,2.82E+01,-2.82E+01,2.52,5.40E-01,-2.40E-01,91.9,59.06,-24.15,43.4
CONFIRMED,CANDIDATE,1,4.125543472,3.13E-06,-3.13E-06,169.752585,6.13E-04,-6.13E-04,0.597,0.235,-0.367,3.1744,0.0362,-0.0362,1.49E+03,1.33E+01,-1.33E+01,4.43,1.44E+00,-5.10E-01,565.35,542.47,-188.14,128.6
CONFIRMED,CANDIDATE,1,2.816504904,1.65E-07,-1.65E-07,170.9676846,4.66E-05,-4.66E-05,0.105,0.264,-0.119,2.50587,0.00666,-0.00666,1.68E+04,1.10E+01,-1.10E+01,12.21,1.62E+00,-8.70E-01,521.13,184.34,-97.95,1406.8
FALSE POSITIVE,FALSE POSITIVE,0,33.93373447,6.15E-05,-6.15E-05,186.67608,1.37E-03,-1.37E-03,0.812,0.006,-0.009,14.561,0.104,-0.104,8.50E+03,4.43E+01,-4.43E+01,7.34,9.00E-01,-6.00E-01,8.11,3.25,-2.06,236.1
CONFIRMED,CANDIDATE,1,3.689920099,8.98E-06,-8.98E-06,170.36571,1.91E-03,-1.91E-03,0.151,0.304,-0.151,2.6557,0.0677,-0.0677,4.27E+02,1.38E+01,-1.38E+01,1.89,5.40E-01,-2.00E-01,408.99,342.24,-123.32,35.6
CONFIRMED,CANDIDATE,1,4.431238488,6.11E-06,-6.11E-06,171.015,1.11E-03,-1.11E-03,0.405,0.041,-0.405,3.15,0.0423,-0.0423,1.01E+03,1.52E+01,-1.52E+01,3.25,4.70E-01,-2.50E-01,351.23,135.26,-68.33,71.1
CONFIRMED,CANDIDATE,1,11.37936986,2.42E-05,-2.42E-05,133.84992,1.83E-03,-1.83E-03,0.911,0.009,-0.656,2.6255,0.073,-0.073,1.02E+03,2.97E+01,-2.97E+01,3.95,5.70E-01,-3.10E-01,99.68,38.38,-19.39,37.9
CONFIRMED,CANDIDATE,1,26.39432897,5.72E-05,-5.72E-05,176.05459,1.76E-03,-1.76E-03,0.602,0.25,-0.396,3.573,0.0643,-0.0643,1.51E+03,3.63E+01,-3.63E+01,3.07,4.10E-01,-2.20E-01,13.49,6.07,-3.21,48.2
CONFIRMED,CANDIDATE,1,13.57078281,1.59E-05,-1.59E-05,136.279194,9.57E-04,-9.57E-04,0.866,0.015,-0.621,3.3539,0.0489,-0.0489,5.12E+02,6.30E+00,-6.30E+00,2.64,4.00E-01,-2.70E-01,89.61,38.12,-22.92,88.4
CONFIRMED,CANDIDATE,1,7.12594387,1.41E-05,-1.41E-05,139.00492,1.59E-03,-1.59E-03,0.898,0.013,-0.699,3.0014,0.0384,-0.0384,1.92E+02,4.40E+00,-4.40E+00,1.79,2.60E-01,-2.30E-01,233.31,94.86,-70.6,47.1
FALSE POSITIVE,FALSE POSITIVE,0.014,7.442652004,7.02E-07,-7.02E-07,169.9717797,7.32E-05,-7.32E-05,0.137,0.346,-0.224,2.3078,0.0129,-0.0129,2.44E+04,3.78E+01,-3.78E+01,15.03,4.73E+00,-1.58E+00,206.78,195.52,-61.76,835.6
CONFIRMED,CANDIDATE,1,16.38489988,5.22E-05,-5.22E-05,172.72782,2.48E-03,-2.48E-03,0.001,0.437,-0.001,3.0249,0.0798,-0.0798,1.13E+03,4.20E+01,-4.20E+01,2,9.00E-02,-1.00E-01,8.35,1.49,-1.35,28.9
CONFIRMED,CANDIDATE,1,7.8774163,1.49E-05,-1.49E-05,176.3759,1.47E-03,-1.47E-03,0.041,0.409,-0.041,2.0805,0.0517,-0.0517,1.31E+03,3.77E+01,-3.77E+01,2.16,9.00E-02,-1.10E-01,22.18,3.97,-3.59,38.7
CONFIRMED,CANDIDATE,1,36.4454001,1.81E-04,-1.81E-04,151.60125,3.92E-03,-3.92E-03,0.028,0.437,-0.028,4.007,0.126,-0.126,1.12E+03,5.34E+01,-5.34E+01,1.99,9.00E-02,-9.00E-02,2.88,0.51,-0.47,21.7
CONFIRMED,CANDIDATE,1,3.728732147,9.36E-07,-9.36E-07,171.793255,1.95E-04,-1.95E-04,0.558,0.13,-0.149,2.683,0.035,-0.035,5.23E+03,1.85E+01,-1.85E+01,6.02,1.22E+00,-5.20E-01,258.34,162.58,-65.21,345.2
CANDIDATE,CANDIDATE,0.999,40.4195037,1.14E-04,-1.14E-04,173.56469,2.22E-03,-2.22E-03,0.911,5.567,-0.118,3.362,0.14,-0.14,6.26E+03,2.30E+02,-2.30E+02,7.51,1.12E+00,-9.10E-01,11.29,5.67,-3.57,36.9
CONFIRMED,CANDIDATE,1,2.243380573,2.67E-06,-2.67E-06,170.679233,9.00E-04,-9.00E-04,0.915,0.009,-0.63,1.1196,0.0384,-0.0384,8.22E+02,2.56E+01,-2.56E+01,1.99,1.00E-01,-1.20E-01,107.6,21.47,-20.32,38.9
FALSE POSITIVE,FALSE POSITIVE,0,10.40599802,2.52E-06,-2.52E-06,177.197466,1.90E-04,-1.90E-04,0.324,0.061,-0.075,6.5036,0.0145,-0.0145,1.45E+04,2.24E+01,-2.24E+01,11.23,2.92E+00,-1.95E+00,113.94,90.01,-45.01,745.2
CONFIRMED,CANDIDATE,1,2.337437946,1.95E-06,-1.95E-06,171.761982,6.59E-04,-6.59E-04,0.28,0.189,-0.28,1.9982,0.0271,-0.0271,9.71E+02,1.37E+01,-1.37E+01,2.34,1.70E-01,-9.00E-02,311.16,69.46,-40.17,82.4
CANDIDATE,CANDIDATE,0.993,7.2406612,1.62E-05,-1.62E-05,137.75545,2.00E-03,-2.00E-03,1.198,49.85,-0.258,0.558,0.171,-0.171,5.56E+02,4.41E+01,-4.41E+01,19.45,1.40E+00,-7.10E-01,68.63,15.32,-8.86,13.7
CANDIDATE,CANDIDATE,0.871,3.43591631,4.73E-05,-4.73E-05,132.6624,1.10E-02,-1.10E-02,0.624,0.037,-0.476,3.133,0.407,-0.407,2.32E+01,3.40E+00,-3.40E+00,0.55,8.00E-02,-7.00E-02,617.61,251.11,-186.88,8.7
CONFIRMED,CANDIDATE,1,11.59822233,1.41E-05,-1.41E-05,180.395376,9.23E-04,-9.23E-04,0.679,0.187,-0.47,2.5237,0.052,-0.052,2.80E+03,4.63E+01,-4.63E+01,2.65,2.10E-01,-2.90E-01,5.82,1.49,-1.63,71
CONFIRMED,CANDIDATE,1,6.575315881,3.73E-06,-3.73E-06,173.634044,4.55E-04,-4.55E-04,0.39,0.065,-0.306,4.3084,0.0306,-0.0306,2.79E+03,1.49E+01,-1.49E+01,5.31,1.50E+00,-8.10E-01,251.38,209.1,-91.63,221.1
CONFIRMED,CANDIDATE,1,7.275040844,4.68E-06,-4.68E-06,169.994217,5.07E-04,-5.07E-04,0.547,0.052,-0.229,7.5377,0.0681,-0.0681,3.00E+03,1.15E+01,-1.15E+01,4.86,1.05E+00,-3.70E-01,113.64,75.31,-28.97,312.1
CONFIRMED,CANDIDATE,1,19.27153892,4.15E-05,-4.15E-05,186.77093,1.82E-03,-1.82E-03,0.031,0.36,-0.031,2.7594,0.0551,-0.0551,1.22E+03,3.53E+01,-3.53E+01,1.93,1.00E-01,-1.20E-01,5.66,1.13,-1.06,37.1
CONFIRMED,CANDIDATE,1,10.06524317,1.49E-05,-1.49E-05,136.28906,1.19E-03,-1.19E-03,0.628,0.003,-0.478,1.369,0.0393,-0.0393,1.05E+03,3.92E+01,-3.92E+01,1.91,1.00E-01,-1.20E-01,13.43,2.69,-2.5,30.3
CONFIRMED,CANDIDATE,1,12.3935651,3.93E-05,-3.93E-05,178.74725,2.45E-03,-2.45E-03,0.883,0.033,-0.64,3.8896,0.0834,-0.0834,9.17E+02,2.91E+01,-2.91E+01,2.66,5.40E-01,-2.30E-01,49.68,31.16,-12.97,35.8
CONFIRMED,CANDIDATE,0.998,43.84439721,9.61E-05,-9.61E-05,151.93538,1.92E-03,-1.92E-03,0.852,0.039,-0.585,6.802,0.119,-0.119,6.15E+02,7.70E+00,-7.70E+00,2.87,4.30E-01,-3.00E-01,18.77,7.98,-4.8,83.7
FALSE POSITIVE,FALSE POSITIVE,0,3.341913228,9.95E-06,-9.95E-06,171.63943,2.47E-03,-2.47E-03,1.213,11.28,-0.141,3.813,0.12,-0.12,7.25E+02,2.13E+01,-2.13E+01,21.55,3.54E+00,-1.89E+00,268.67,145.91,-70.67,39
FALSE POSITIVE,FALSE POSITIVE,0.773,1.626630225,1.02E-06,-1.02E-06,169.820171,4.87E-04,-4.87E-04,1.26,4.827,-0.043,2.1145,0.0285,-0.0285,1.62E+03,1.90E+01,-1.90E+01,32.43,9.00E+00,-4.83E+00,1355.88,1105.99,-486.6,103.6
CONFIRMED,CANDIDATE,1,2.711504086,3.80E-06,-3.80E-06,170.03417,1.11E-03,-1.11E-03,0.023,0.405,-0.023,3.0099,0.0423,-0.0423,8.38E+02,1.45E+01,-1.45E+01,3.12,1.02E+00,-3.40E-01,960.79,931.74,-309.76,64.5
CONFIRMED,CANDIDATE,1,7.21203748,1.55E-05,-1.55E-05,172.81782,1.63E-03,-1.63E-03,0.012,0.394,-0.012,4.0491,0.058,-0.058,9.50E+02,1.95E+01,-1.95E+01,3.32,1.09E+00,-3.60E-01,260.58,252.7,-84.01,51.5
FALSE POSITIVE,FALSE POSITIVE,,14.1798187,1.64E-04,-1.64E-04,171.50237,7.60E-03,-7.60E-03,0.1601,0.2975,-0.16,2.505,0.315,-0.315,4.60E+02,5.19E+01,-5.19E+01,1.88,7.10E-01,-1.40E-01,60.35,67.75,-14.34,11.2
CONFIRMED,CANDIDATE,1,8.47237911,1.56E-05,-1.56E-05,174.16212,1.49E-03,-1.49E-03,0.022,0.378,-0.022,2.7245,0.0484,-0.0484,1.12E+03,2.67E+01,-2.67E+01,2.59,3.70E-01,-2.20E-01,75.44,35.44,-19.3,47.6
CONFIRMED,CANDIDATE,0.989,60.4189369,5.04E-04,-5.04E-04,181.16367,6.25E-03,-6.25E-03,0.094,0.359,-0.094,5.039,0.184,-0.184,9.31E+02,4.96E+01,-4.96E+01,2.36,3.40E-01,-2.00E-01,5.49,2.58,-1.4,20.1
CONFIRMED,CANDIDATE,1,12.61190435,6.65E-06,-6.65E-06,180.892284,4.13E-04,-4.13E-04,0.55,0.065,-0.128,5.1497,0.0592,-0.0592,6.11E+03,2.76E+01,-2.76E+01,7.4,2.20E+00,-7.30E-01,76.15,66.33,-21.39,277.2
FALSE POSITIVE,FALSE POSITIVE,0,1.433769925,7.41E-07,-7.41E-07,170.403536,3.97E-04,-3.97E-04,1.268,5.652,-0.123,1.8868,0.0232,-0.0232,1.98E+03,2.04E+01,-2.04E+01,46.58,8.01E+00,-8.00E+00,3209.29,1411.94,-1136.62,112.6
FALSE POSITIVE,FALSE POSITIVE,0,10.31872301,2.85E-05,-2.85E-05,173.31543,2.24E-03,-2.24E-03,1.215,59.52,-0.463,3.836,0.121,-0.121,8.72E+02,2.64E+01,-2.64E+01,28.59,8.61E+00,-3.69E+00,139.26,125.69,-46.77,38.2
CONFIRMED,CANDIDATE,1,2.539183147,5.07E-06,-5.07E-06,169.67494,1.60E-03,-1.60E-03,0.238,0.198,-0.238,2.4282,0.0559,-0.0559,3.82E+02,1.14E+01,-1.14E+01,2.06,2.90E-01,-2.80E-01,743.09,290.34,-212.44,38.9
CONFIRMED,CANDIDATE,1,6.770300385,9.54E-06,-9.54E-06,170.57662,1.08E-03,-1.08E-03,0.838,0.083,-0.589,2.0844,0.0454,-0.0454,1.30E+03,2.97E+01,-2.97E+01,2.77,4.60E-01,-1.50E-01,102.87,53.88,-21.24,50.8
FALSE POSITIVE,FALSE POSITIVE,0,0.444291966,9.70E-08,-9.70E-08,169.865406,1.69E-04,-1.69E-04,1.258,0.334,-0.141,2.0792,0.0115,-0.0115,1.10E+04,4.59E+01,-4.59E+01,27.51,3.46E+00,-1.73E+00,2706.26,1149.42,-599.58,299.7
CANDIDATE,CANDIDATE,1,10.181584,6.19E-06,-6.19E-06,177.141891,4.83E-04,-4.83E-04,0.92,0.007,-0.005,3.5089,0.0331,-0.0331,5.74E+03,5.32E+01,-5.32E+01,7.73,2.17E+00,-7.20E-01,102.91,86.75,-28.91,183.6
CONFIRMED,CANDIDATE,1,20.06036336,5.84E-05,-5.84E-05,147.46554,2.41E-03,-2.41E-03,0.556,0.323,-0.368,3.3203,0.0754,-0.0754,1.49E+03,4.51E+01,-4.51E+01,1.96,1.30E-01,-1.60E-01,4,0.89,-0.9,35.2
CONFIRMED,CANDIDATE,1,46.1842039,2.65E-04,-2.65E-04,165.23729,4.30E-03,-4.30E-03,0.013,0.415,-0.013,4.758,0.13,-0.13,1.39E+03,5.64E+01,-5.64E+01,1.83,1.20E-01,-1.50E-01,1.32,0.29,-0.3,26
CONFIRMED,CANDIDATE,0.952,23.9800854,2.00E-04,-2.00E-04,147.537,6.47E-03,-6.47E-03,0.95,0.004,-0.66,5.351,0.177,-0.177,1.04E+02,6.50E+00,-6.50E+00,1.31,2.00E-01,-1.30E-01,41.94,17.84,-10.73,17.1
CONFIRMED,CANDIDATE,0.994,7.82502168,3.89E-05,-3.89E-05,136.54995,4.36E-03,-4.36E-03,0.708,0.234,-0.487,2.186,0.12,-0.12,5.21E+02,3.64E+01,-3.64E+01,1.2,8.00E-02,-1.00E-01,14.05,3.1,-3.19,15.9
CONFIRMED,CANDIDATE,1,3.895936525,7.71E-07,-7.71E-07,170.527552,1.57E-04,-1.57E-04,0.524,0.069,-0.237,2.3111,0.0302,-0.0302,8.54E+03,2.95E+01,-2.95E+01,7.34,1.53E+00,-6.50E-01,241.62,155.31,-64.19,370.8
CONFIRMED,CANDIDATE,0.999,22.36646466,9.76E-05,-9.76E-05,175.45862,3.54E-03,-3.54E-03,0.4,0.066,-0.4,5.228,0.122,-0.122,9.87E+02,3.51E+01,-3.51E+01,2.32,3.80E-01,-1.60E-01,19.45,10.29,-4.56,32.1
CONFIRMED,CANDIDATE,1,1.625522174,1.58E-07,-1.58E-07,170.8266564,7.61E-05,-7.61E-05,0.076,0.022,-0.076,2.38963,0.00338,-0.00338,7.97E+03,1.18E+01,-1.18E+01,9.73,1.41E+00,-1.42E+00,1467.41,576.36,-452.24,799.7
